A,A_wells,A_area,B,B_wells,B_area,inter_km2,pct_of_smaller,pct_of_larger,jaccard
West Lake Energy Corp.,1130,344640.8,LGX Oil + Gas Inc.,308,95116.4,55981.2,58.86,16.24,14.59
Journey Energy Inc.,408,156544.0,Axiom Oil and Gas Inc.,298,105167.2,55971.8,53.22,35.75,27.21
Spoke Resources Ltd.,547,216872.9,InPlay Oil Corp.,306,113272.0,54142.7,47.8,24.97,19.62
Gran Tierra Canada Ltd.,426,192549.8,Axiom Oil and Gas Inc.,298,105167.2,54113.5,51.45,28.1,22.21
Aspenleaf Energy Limited,317,80822.2,Bonterra Energy Corp.,716,112752.0,54002.1,66.82,47.89,38.69
Suncor Energy Inc.,2060,255998.9,Journey Energy Inc.,408,156544.0,53272.3,34.03,20.81,14.83
Aspenleaf Energy Limited,317,80822.2,Ovintiv Canada ULC,276,195983.6,52589.4,65.07,26.83,23.45
Suncor Energy Inc.,2060,255998.9,Gran Tierra Canada Ltd.,426,192549.8,52362.3,27.19,20.45,13.22
Suncor Energy Inc.,2060,255998.9,InPlay Oil Corp.,306,113272.0,50590.0,44.66,19.76,15.87
Suncor Energy Inc.,2060,255998.9,Bonterra Energy Corp.,716,112752.0,48420.3,42.94,18.91,15.12
Ipc Canada Ltd.,1777,256449.7,Aspenleaf Energy Limited,317,80822.2,48284.4,59.74,18.83,16.71
InPlay Oil Corp.,306,113272.0,Aspenleaf Energy Limited,317,80822.2,43609.2,53.96,38.5,28.98
Spoke Resources Ltd.,547,216872.9,Axiom Oil and Gas Inc.,298,105167.2,43228.6,41.1,19.93,15.5
NuVista Energy Ltd.,507,255357.2,LGX Oil + Gas Inc.,308,95116.4,41262.4,43.38,16.16,13.34
Gran Tierra Canada Ltd.,426,192549.8,LGX Oil + Gas Inc.,308,95116.4,39823.7,41.87,20.68,16.07
Axiom Oil and Gas Inc.,298,105167.2,Aspenleaf Energy Limited,317,80822.2,39462.5,48.83,37.52,26.93
Ember Resources Inc.,1051,162498.1,LGX Oil + Gas Inc.,308,95116.4,36733.0,38.62,22.61,16.63
Aspenleaf Energy Limited,317,80822.2,Trident Exploration (Alberta) Corp.,826,130806.1,36202.9,44.79,27.68,20.64
Canadian Natural Resources Limited,20769,554574.5,Karve Energy Inc.,571,32255.8,32255.8,100.0,5.82,5.82
Strathcona Resources Ltd.,739,328898.8,Karve Energy Inc.,571,32255.8,32255.8,100.0,9.81,9.81
Harvest Operations Corp.,2067,394311.8,Karve Energy Inc.,571,32255.8,32255.7,100.0,8.18,8.18
Ipc Canada Ltd.,1777,256449.7,Karve Energy Inc.,571,32255.8,32251.8,99.99,12.58,12.58
Prairie Provident Resources Canada Ltd.,977,403193.9,Karve Energy Inc.,571,32255.8,32242.6,99.96,8.0,8.0
Cenovus Energy Inc.,5874,530534.1,Karve Energy Inc.,571,32255.8,32240.1,99.95,6.08,6.08
Karve Energy Inc.,571,32255.8,Saturn Oil & Gas Inc.,554,282073.0,32238.1,99.95,11.43,11.43
Baytex Energy Ltd.,999,327003.4,Karve Energy Inc.,571,32255.8,32227.2,99.91,9.86,9.85
West Lake Energy Corp.,1130,344640.8,Karve Energy Inc.,571,32255.8,32185.8,99.78,9.34,9.34
Spoke Resources Ltd.,547,216872.9,Trident Exploration (Alberta) Corp.,826,130806.1,32165.4,24.59,14.83,10.19
AlphaBow Energy Ltd.,1490,281555.9,Karve Energy Inc.,571,32255.8,32130.3,99.61,11.41,11.41
TAQA North Ltd.,898,443236.8,Karve Energy Inc.,571,32255.8,32060.5,99.39,7.23,7.23
Pine Cliff Energy Ltd.,1526,167838.9,Karve Energy Inc.,571,32255.8,31989.4,99.17,19.06,19.03
InPlay Oil Corp.,306,113272.0,LGX Oil + Gas Inc.,308,95116.4,31976.2,33.62,28.23,18.13
Aspenleaf Energy Limited,317,80822.2,Spartan Delta Corp.,446,150254.0,31640.3,39.15,21.06,15.86
ConocoPhillips Canada Resources Corp.,924,472212.7,Karve Energy Inc.,571,32255.8,31486.3,97.61,6.67,6.66
Obsidian Energy Ltd.,1729,323028.8,LGX Oil + Gas Inc.,308,95116.4,31467.6,33.08,9.74,8.14
CNOOC Petroleum North America ULC,627,277977.6,Karve Energy Inc.,571,32255.8,31228.1,96.81,11.23,11.19
Aspenleaf Energy Limited,317,80822.2,Pine Cliff Energy Ltd.,1526,167838.9,31058.8,38.43,18.51,14.27
Tourmaline Oil Corp.,1331,374838.5,Karve Energy Inc.,571,32255.8,30917.1,95.85,8.25,8.22
Canadian Natural Resources Limited,20769,554574.5,Battle River Energy Ltd.,610,30904.9,30904.7,100.0,5.57,5.57
Harvest Operations Corp.,2067,394311.8,Battle River Energy Ltd.,610,30904.9,30904.7,100.0,7.84,7.84
Ipc Canada Ltd.,1777,256449.7,Battle River Energy Ltd.,610,30904.9,30899.8,99.98,12.05,12.05
Cenovus Energy Inc.,5874,530534.1,Battle River Energy Ltd.,610,30904.9,30896.8,99.97,5.82,5.82
Karve Energy Inc.,571,32255.8,Manitok Energy Inc.,482,332570.5,30893.8,95.78,9.29,9.25
Prairie Provident Resources Canada Ltd.,977,403193.9,Battle River Energy Ltd.,610,30904.9,30890.8,99.95,7.66,7.66
Pine Cliff Energy Ltd.,1526,167838.9,Battle River Energy Ltd.,610,30904.9,30875.7,99.91,18.4,18.39
Baytex Energy Ltd.,999,327003.4,Battle River Energy Ltd.,610,30904.9,30871.1,99.89,9.44,9.44
Obsidian Energy Ltd.,1729,323028.8,Karve Energy Inc.,571,32255.8,30867.7,95.7,9.56,9.51
Cardinal Energy Ltd.,844,283267.6,Battle River Energy Ltd.,610,30904.9,30846.2,99.81,10.89,10.89
AlphaBow Energy Ltd.,1490,281555.9,Battle River Energy Ltd.,610,30904.9,30846.1,99.81,10.96,10.95
Tamarack Valley Energy Ltd.,634,286414.6,Battle River Energy Ltd.,610,30904.9,30818.4,99.72,10.76,10.76
West Lake Energy Corp.,1130,344640.8,Battle River Energy Ltd.,610,30904.9,30768.5,99.56,8.93,8.92
Saturn Oil & Gas Inc.,554,282073.0,Battle River Energy Ltd.,610,30904.9,30753.8,99.51,10.9,10.9
Surge Energy Inc.,1509,268684.9,Battle River Energy Ltd.,610,30904.9,30698.6,99.33,11.43,11.42
TAQA North Ltd.,898,443236.8,Battle River Energy Ltd.,610,30904.9,30694.7,99.32,6.93,6.92
Battle River Energy Ltd.,610,30904.9,Manitok Energy Inc.,482,332570.5,30503.1,98.7,9.17,9.16
Tamarack Valley Energy Ltd.,634,286414.6,Karve Energy Inc.,571,32255.8,30403.1,94.26,10.62,10.55
ConocoPhillips Canada Resources Corp.,924,472212.7,Battle River Energy Ltd.,610,30904.9,30273.2,97.96,6.41,6.4
Canadian Oil & Gas International Inc.,454,344600.4,Karve Energy Inc.,571,32255.8,30100.0,93.32,8.73,8.68
Paramount Resources Ltd.,1961,420095.3,Karve Energy Inc.,571,32255.8,29994.0,92.99,7.14,7.1
Questfire Energy Corp.,673,223552.9,Karve Energy Inc.,571,32255.8,29825.3,92.46,13.34,13.2
CNOOC Petroleum North America ULC,627,277977.6,Battle River Energy Ltd.,610,30904.9,29822.0,96.5,10.73,10.69
Karve Energy Inc.,571,32255.8,Gear Energy Ltd.,677,155908.7,29788.7,92.35,19.11,18.81
Suncor Energy Inc.,2060,255998.9,Aspenleaf Energy Limited,317,80822.2,29711.2,36.76,11.61,9.67
Tourmaline Oil Corp.,1331,374838.5,Battle River Energy Ltd.,610,30904.9,29676.3,96.02,7.92,7.89
Strathcona Resources Ltd.,739,328898.8,LGX Oil + Gas Inc.,308,95116.4,29411.9,30.92,8.94,7.45
Spoke Resources Ltd.,547,216872.9,Pine Cliff Energy Ltd.,1526,167838.9,29359.9,17.49,13.54,8.26
Cardinal Energy Ltd.,844,283267.6,Karve Energy Inc.,571,32255.8,29222.3,90.6,10.32,10.21
Imperial Oil Resources Limited,1699,479238.5,Karve Energy Inc.,571,32255.8,29147.3,90.36,6.08,6.04
Questfire Energy Corp.,673,223552.9,Battle River Energy Ltd.,610,30904.9,29013.9,93.88,12.98,12.87
Canadian Oil & Gas International Inc.,454,344600.4,Battle River Energy Ltd.,610,30904.9,28962.4,93.71,8.4,8.36
Paramount Resources Ltd.,1961,420095.3,Battle River Energy Ltd.,610,30904.9,28844.5,93.33,6.87,6.83
Imperial Oil Resources Limited,1699,479238.5,Battle River Energy Ltd.,610,30904.9,28244.9,91.39,5.89,5.86
Suncor Energy Inc.,2060,255998.9,LGX Oil + Gas Inc.,308,95116.4,27957.7,29.39,10.92,8.65
Surge Energy Inc.,1509,268684.9,Karve Energy Inc.,571,32255.8,27917.7,86.55,10.39,10.23
Bonterra Energy Corp.,716,112752.0,LGX Oil + Gas Inc.,308,95116.4,27610.8,29.03,24.49,15.32
Long Run Exploration Ltd.,1077,351216.8,Battle River Energy Ltd.,610,30904.9,27452.7,88.83,7.82,7.74
Obsidian Energy Ltd.,1729,323028.8,Battle River Energy Ltd.,610,30904.9,27153.1,87.86,8.41,8.31
Canlin Energy Corporation,1376,356522.5,Battle River Energy Ltd.,610,30904.9,26971.7,87.27,7.57,7.48
Veren Inc.,664,274382.3,Karve Energy Inc.,571,32255.8,26805.7,83.1,9.77,9.58
Blue Sky Resources Ltd.,983,376771.1,Battle River Energy Ltd.,610,30904.9,26525.4,85.83,7.04,6.96
Spartan Delta Corp.,446,150254.0,Battle River Energy Ltd.,610,30904.9,26153.1,84.62,17.41,16.87
Suncor Energy Inc.,2060,255998.9,Karve Energy Inc.,571,32255.8,25882.9,80.24,10.11,9.86
Axiom Oil and Gas Inc.,298,105167.2,LGX Oil + Gas Inc.,308,95116.4,25695.3,27.01,24.43,14.72
LGX Oil + Gas Inc.,308,95116.4,Gear Energy Ltd.,677,155908.7,25673.0,26.99,16.47,11.39
SanLing Energy Ltd.,1105,388237.4,Battle River Energy Ltd.,610,30904.9,25558.1,82.7,6.58,6.49
Blue Sky Resources Ltd.,983,376771.1,Karve Energy Inc.,571,32255.8,24999.1,77.5,6.64,6.51
Strathcona Resources Ltd.,739,328898.8,Battle River Energy Ltd.,610,30904.9,24410.3,78.99,7.42,7.28
Long Run Exploration Ltd.,1077,351216.8,Karve Energy Inc.,571,32255.8,23862.1,73.98,6.79,6.64
Spoke Resources Ltd.,547,216872.9,Spartan Delta Corp.,446,150254.0,23398.9,15.57,10.79,6.81
Canadian Natural Resources Limited,20769,554574.5,City Of Medicine Hat,1109,23195.8,23195.8,100.0,4.18,4.18
City Of Medicine Hat,1109,23195.8,Pine Cliff Energy Ltd.,1526,167838.9,23195.8,100.0,13.82,13.82
City Of Medicine Hat,1109,23195.8,Prairie Provident Resources Canada Ltd.,977,403193.9,23174.6,99.91,5.75,5.75
Cenovus Energy Inc.,5874,530534.1,City Of Medicine Hat,1109,23195.8,23127.7,99.71,4.36,4.36
Whitecap Resources Inc.,613,295046.7,Battle River Energy Ltd.,610,30904.9,23112.5,74.79,7.83,7.63
Canlin Energy Corporation,1376,356522.5,Karve Energy Inc.,571,32255.8,23061.8,71.5,6.47,6.31
Axiom Oil and Gas Inc.,298,105167.2,Karve Energy Inc.,571,32255.8,22975.5,71.23,21.85,20.08
City Of Medicine Hat,1109,23195.8,Spartan Delta Corp.,446,150254.0,22870.0,98.6,15.22,15.19
Spartan Delta Corp.,446,150254.0,Karve Energy Inc.,571,32255.8,22043.2,68.34,14.67,13.74
City Of Medicine Hat,1109,23195.8,SanLing Energy Ltd.,1105,388237.4,21972.7,94.73,5.66,5.64
SanLing Energy Ltd.,1105,388237.4,Karve Energy Inc.,571,32255.8,21947.8,68.04,5.65,5.51
City Of Medicine Hat,1109,23195.8,Cardinal Energy Ltd.,844,283267.6,21855.8,94.22,7.72,7.68
Ipc Canada Ltd.,1777,256449.7,City Of Medicine Hat,1109,23195.8,21693.6,93.52,8.46,8.41
Ovintiv Canada ULC,276,195983.6,Battle River Energy Ltd.,610,30904.9,21371.3,69.15,10.9,10.4
Sequoia Resources Corp.,816,236179.8,Karve Energy Inc.,571,32255.8,21333.7,66.14,9.03,8.63
Suncor Energy Inc.,2060,255998.9,Battle River Energy Ltd.,610,30904.9,20644.6,66.8,8.06,7.75
City Of Medicine Hat,1109,23195.8,AlphaBow Energy Ltd.,1490,281555.9,20462.3,88.22,7.27,7.2
Whitecap Resources Inc.,613,295046.7,Karve Energy Inc.,571,32255.8,20442.1,63.37,6.93,6.66
TAQA North Ltd.,898,443236.8,City Of Medicine Hat,1109,23195.8,20287.5,87.46,4.58,4.55
Gear Energy Ltd.,677,155908.7,Battle River Energy Ltd.,610,30904.9,19968.1,64.61,12.81,11.97
City Of Medicine Hat,1109,23195.8,Long Run Exploration Ltd.,1077,351216.8,19835.0,85.51,5.65,5.59
City Of Medicine Hat,1109,23195.8,Canlin Energy Corporation,1376,356522.5,19589.3,84.45,5.49,5.44
Karve Energy Inc.,571,32255.8,Battle River Energy Ltd.,610,30904.9,19582.8,63.36,60.71,44.94
Surge Energy Inc.,1509,268684.9,City Of Medicine Hat,1109,23195.8,19521.1,84.16,7.27,7.17
City Of Medicine Hat,1109,23195.8,Manitok Energy Inc.,482,332570.5,19441.9,83.82,5.85,5.78
City Of Medicine Hat,1109,23195.8,Harvest Operations Corp.,2067,394311.8,19307.1,83.24,4.9,4.85
LGX Oil + Gas Inc.,308,95116.4,Sequoia Resources Corp.,816,236179.8,19252.9,20.24,8.15,6.17
NuVista Energy Ltd.,507,255357.2,Battle River Energy Ltd.,610,30904.9,18920.9,61.22,7.41,7.08
Trident Exploration (Alberta) Corp.,826,130806.1,Battle River Energy Ltd.,610,30904.9,18595.8,60.17,14.22,12.99
City Of Medicine Hat,1109,23195.8,Questfire Energy Corp.,673,223552.9,18405.3,79.35,8.23,8.06
Veren Inc.,664,274382.3,LGX Oil + Gas Inc.,308,95116.4,18096.5,19.03,6.6,5.15
Axiom Oil and Gas Inc.,298,105167.2,Battle River Energy Ltd.,610,30904.9,18069.3,58.47,17.18,15.31
InPlay Oil Corp.,306,113272.0,Battle River Energy Ltd.,610,30904.9,17888.4,57.88,15.79,14.16
Trident Exploration (Alberta) Corp.,826,130806.1,Karve Energy Inc.,571,32255.8,17488.7,54.22,13.37,12.01
City Of Medicine Hat,1109,23195.8,Tourmaline Oil Corp.,1331,374838.5,17321.6,74.68,4.62,4.55
City Of Medicine Hat,1109,23195.8,LGX Oil + Gas Inc.,308,95116.4,17095.3,73.7,17.97,16.89
City Of Medicine Hat,1109,23195.8,CNOOC Petroleum North America ULC,627,277977.6,17065.1,73.57,6.14,6.01
City Of Medicine Hat,1109,23195.8,Imperial Oil Resources Limited,1699,479238.5,16889.6,72.81,3.52,3.48
Sinopec Canada Energy Ltd.,429,242470.3,LGX Oil + Gas Inc.,308,95116.4,16851.6,17.72,6.95,5.25
City Of Medicine Hat,1109,23195.8,Tamarack Valley Energy Ltd.,634,286414.6,16335.7,70.43,5.7,5.57
Karve Energy Inc.,571,32255.8,Ovintiv Canada ULC,276,195983.6,16213.2,50.26,8.27,7.65
NuVista Energy Ltd.,507,255357.2,Karve Energy Inc.,571,32255.8,16107.9,49.94,6.31,5.93
Blue Sky Resources Ltd.,983,376771.1,City Of Medicine Hat,1109,23195.8,15959.5,68.8,4.24,4.16
Veren Inc.,664,274382.3,Battle River Energy Ltd.,610,30904.9,15638.1,50.6,5.7,5.4
City Of Medicine Hat,1109,23195.8,Canadian Oil & Gas International Inc.,454,344600.4,15521.5,66.92,4.5,4.41
City Of Medicine Hat,1109,23195.8,Houston Oil & Gas Ltd.,757,201799.0,15265.0,65.81,7.56,7.28
InPlay Oil Corp.,306,113272.0,Karve Energy Inc.,571,32255.8,14997.9,46.5,13.24,11.49
Cenovus Energy Inc.,5874,530534.1,Canadian Natural Upgrading Limited,551,14787.9,14787.9,100.0,2.79,2.79
Imperial Oil Resources Limited,1699,479238.5,Canadian Natural Upgrading Limited,551,14787.9,14787.9,100.0,3.09,3.09
City Of Medicine Hat,1109,23195.8,ConocoPhillips Canada Resources Corp.,924,472212.7,14602.6,62.95,3.09,3.04
Suncor Energy Inc.,2060,255998.9,Canadian Natural Upgrading Limited,551,14787.9,14552.4,98.41,5.68,5.68
Canadian Natural Resources Limited,20769,554574.5,Canadian Natural Upgrading Limited,551,14787.9,14296.4,96.68,2.58,2.58
Aspenleaf Energy Limited,317,80822.2,LGX Oil + Gas Inc.,308,95116.4,13774.5,17.04,14.48,8.49
Cenovus Energy Inc.,5874,530534.1,Torxen Energy Ltd.,2300,13646.6,13646.6,100.0,2.57,2.57
Canadian Natural Resources Limited,20769,554574.5,Torxen Energy Ltd.,2300,13646.6,13646.6,100.0,2.46,2.46
TAQA North Ltd.,898,443236.8,Torxen Energy Ltd.,2300,13646.6,13646.6,100.0,3.08,3.08
Surge Energy Inc.,1509,268684.9,Torxen Energy Ltd.,2300,13646.6,13646.6,100.0,5.08,5.08
Baytex Energy Ltd.,999,327003.4,Torxen Energy Ltd.,2300,13646.6,13646.6,100.0,4.17,4.17
Blue Sky Resources Ltd.,983,376771.1,Torxen Energy Ltd.,2300,13646.6,13646.6,100.0,3.62,3.62
Torxen Energy Ltd.,2300,13646.6,Ipc Canada Ltd.,1777,256449.7,13646.6,100.0,5.32,5.32
Torxen Energy Ltd.,2300,13646.6,Canlin Energy Corporation,1376,356522.5,13646.6,100.0,3.83,3.83
Torxen Energy Ltd.,2300,13646.6,Imperial Oil Resources Limited,1699,479238.5,13646.6,100.0,2.85,2.85
Torxen Energy Ltd.,2300,13646.6,West Lake Energy Corp.,1130,344640.8,13646.6,100.0,3.96,3.96
Torxen Energy Ltd.,2300,13646.6,Harvest Operations Corp.,2067,394311.8,13646.6,100.0,3.46,3.46
Torxen Energy Ltd.,2300,13646.6,Prairie Provident Resources Canada Ltd.,977,403193.9,13646.6,100.0,3.38,3.38
Torxen Energy Ltd.,2300,13646.6,Long Run Exploration Ltd.,1077,351216.8,13646.6,100.0,3.89,3.89
Torxen Energy Ltd.,2300,13646.6,SanLing Energy Ltd.,1105,388237.4,13646.6,100.0,3.52,3.52
Torxen Energy Ltd.,2300,13646.6,ConocoPhillips Canada Resources Corp.,924,472212.7,13646.6,100.0,2.89,2.89
Torxen Energy Ltd.,2300,13646.6,AlphaBow Energy Ltd.,1490,281555.9,13646.6,100.0,4.85,4.85
Torxen Energy Ltd.,2300,13646.6,Cardinal Energy Ltd.,844,283267.6,13646.6,100.0,4.82,4.82
Torxen Energy Ltd.,2300,13646.6,Tamarack Valley Energy Ltd.,634,286414.6,13646.6,100.0,4.76,4.76
Torxen Energy Ltd.,2300,13646.6,LGX Oil + Gas Inc.,308,95116.4,13646.6,100.0,14.35,14.35
Torxen Energy Ltd.,2300,13646.6,Tourmaline Oil Corp.,1331,374838.5,13646.6,100.0,3.64,3.64
Torxen Energy Ltd.,2300,13646.6,Pine Cliff Energy Ltd.,1526,167838.9,13646.6,100.0,8.13,8.13
Torxen Energy Ltd.,2300,13646.6,Canadian Oil & Gas International Inc.,454,344600.4,13646.6,100.0,3.96,3.96
Torxen Energy Ltd.,2300,13646.6,Questfire Energy Corp.,673,223552.9,13646.6,100.0,6.1,6.1
Torxen Energy Ltd.,2300,13646.6,Spartan Delta Corp.,446,150254.0,13646.6,100.0,9.08,9.08
Torxen Energy Ltd.,2300,13646.6,Manitok Energy Inc.,482,332570.5,13646.6,100.0,4.1,4.1
Torxen Energy Ltd.,2300,13646.6,Houston Oil & Gas Ltd.,757,201799.0,13645.1,99.99,6.76,6.76
Torxen Energy Ltd.,2300,13646.6,Paramount Resources Ltd.,1961,420095.3,13602.3,99.68,3.24,3.24
Torxen Energy Ltd.,2300,13646.6,CNOOC Petroleum North America ULC,627,277977.6,13553.4,99.32,4.88,4.87
Journey Energy Inc.,408,156544.0,City Of Medicine Hat,1109,23195.8,13398.0,57.76,8.56,8.05
West Lake Energy Corp.,1130,344640.8,Canadian Natural Upgrading Limited,551,14787.9,13324.4,90.1,3.87,3.85
Canadian Natural Upgrading Limited,551,14787.9,Canadian Oil & Gas International Inc.,454,344600.4,13316.3,90.05,3.86,3.85
Whitecap Resources Inc.,613,295046.7,Torxen Energy Ltd.,2300,13646.6,13128.9,96.21,4.45,4.44
Journey Energy Inc.,408,156544.0,Torxen Energy Ltd.,2300,13646.6,13071.6,95.79,8.35,8.32
Houston Oil & Gas Ltd.,757,201799.0,Battle River Energy Ltd.,610,30904.9,12633.2,40.88,6.26,5.74
Sinopec Canada Energy Ltd.,429,242470.3,Karve Energy Inc.,571,32255.8,12581.4,39.01,5.19,4.8
ConocoPhillips Canada Resources Corp.,924,472212.7,Canadian Natural Upgrading Limited,551,14787.9,12477.9,84.38,2.64,2.63
Baytex Energy Ltd.,999,327003.4,City Of Medicine Hat,1109,23195.8,12378.9,53.37,3.79,3.66
Vermilion Energy Inc.,321,323169.2,Battle River Energy Ltd.,610,30904.9,12273.3,39.71,3.8,3.59
Torxen Energy Ltd.,2300,13646.6,Saturn Oil & Gas Inc.,554,282073.0,11883.8,87.08,4.21,4.19
City Of Medicine Hat,1109,23195.8,West Lake Energy Corp.,1130,344640.8,11834.8,51.02,3.43,3.32
LGX Oil + Gas Inc.,308,95116.4,Battle River Energy Ltd.,610,30904.9,11609.3,37.56,12.21,10.15
City Of Medicine Hat,1109,23195.8,Paramount Resources Ltd.,1961,420095.3,11408.7,49.18,2.72,2.64
Torxen Energy Ltd.,2300,13646.6,Ovintiv Canada ULC,276,195983.6,11168.3,81.84,5.7,5.63
Vermilion Energy Inc.,321,323169.2,Torxen Energy Ltd.,2300,13646.6,10482.7,76.82,3.24,3.21
Paramount Resources Ltd.,1961,420095.3,Canadian Natural Upgrading Limited,551,14787.9,10383.4,70.22,2.47,2.45
Sequoia Resources Corp.,816,236179.8,Battle River Energy Ltd.,610,30904.9,10331.6,33.43,4.37,4.02
Blue Sky Resources Ltd.,983,376771.1,Canadian Natural Upgrading Limited,551,14787.9,10278.8,69.51,2.73,2.7
Vermilion Energy Inc.,321,323169.2,Karve Energy Inc.,571,32255.8,10266.9,31.83,3.18,2.97
Canadian Natural Upgrading Limited,551,14787.9,Sequoia Resources Corp.,816,236179.8,9802.5,66.29,4.15,4.06
Prairie Provident Resources Canada Ltd.,977,403193.9,Canadian Natural Upgrading Limited,551,14787.9,8868.4,59.97,2.2,2.17
Cenovus Energy Inc.,5874,530534.1,Cleo Energy Corp.,585,8582.3,8582.3,100.0,1.62,1.62
Canadian Natural Resources Limited,20769,554574.5,Cleo Energy Corp.,585,8582.3,8582.3,100.0,1.55,1.55
Strathcona Resources Ltd.,739,328898.8,Cleo Energy Corp.,585,8582.3,8582.3,100.0,2.61,2.61
Ipc Canada Ltd.,1777,256449.7,Cleo Energy Corp.,585,8582.3,8582.3,100.0,3.35,3.35
Harvest Operations Corp.,2067,394311.8,Cleo Energy Corp.,585,8582.3,8582.3,100.0,2.18,2.18
Tamarack Valley Energy Ltd.,634,286414.6,Cleo Energy Corp.,585,8582.3,8582.3,100.0,3.0,3.0
Prairie Provident Resources Canada Ltd.,977,403193.9,Cleo Energy Corp.,585,8582.3,8582.0,100.0,2.13,2.13
AlphaBow Energy Ltd.,1490,281555.9,Cleo Energy Corp.,585,8582.3,8582.0,100.0,3.05,3.05
Obsidian Energy Ltd.,1729,323028.8,Cleo Energy Corp.,585,8582.3,8581.6,99.99,2.66,2.66
Cardinal Energy Ltd.,844,283267.6,Cleo Energy Corp.,585,8582.3,8579.6,99.97,3.03,3.03
Baytex Energy Ltd.,999,327003.4,Cleo Energy Corp.,585,8582.3,8579.2,99.96,2.62,2.62
Pine Cliff Energy Ltd.,1526,167838.9,Cleo Energy Corp.,585,8582.3,8578.9,99.96,5.11,5.11
West Lake Energy Corp.,1130,344640.8,Cleo Energy Corp.,585,8582.3,8575.4,99.92,2.49,2.49
Saturn Oil & Gas Inc.,554,282073.0,Cleo Energy Corp.,585,8582.3,8569.5,99.85,3.04,3.04
Surge Energy Inc.,1509,268684.9,Cleo Energy Corp.,585,8582.3,8556.1,99.69,3.18,3.18
TAQA North Ltd.,898,443236.8,Cleo Energy Corp.,585,8582.3,8550.8,99.63,1.93,1.93
Karve Energy Inc.,571,32255.8,Cleo Energy Corp.,585,8582.3,8519.6,99.27,26.41,26.36
Cleo Energy Corp.,585,8582.3,Manitok Energy Inc.,482,332570.5,8495.7,98.99,2.55,2.55
Whitecap Resources Inc.,613,295046.7,City Of Medicine Hat,1109,23195.8,8487.3,36.59,2.88,2.74
Lexin Resources Ltd.,852,334562.2,Canadian Natural Upgrading Limited,551,14787.9,8449.3,57.14,2.53,2.48
ConocoPhillips Canada Resources Corp.,924,472212.7,Cleo Energy Corp.,585,8582.3,8438.5,98.32,1.79,1.79
Battle River Energy Ltd.,610,30904.9,Cleo Energy Corp.,585,8582.3,8375.1,97.59,27.1,26.92
CNOOC Petroleum North America ULC,627,277977.6,Cleo Energy Corp.,585,8582.3,8277.1,96.44,2.98,2.97
City Of Medicine Hat,1109,23195.8,Saturn Oil & Gas Inc.,554,282073.0,8260.2,35.61,2.93,2.78
Gear Energy Ltd.,677,155908.7,Cleo Energy Corp.,585,8582.3,8238.4,95.99,5.28,5.27
Tourmaline Oil Corp.,1331,374838.5,Cleo Energy Corp.,585,8582.3,8195.4,95.49,2.19,2.18
Axiom Oil and Gas Inc.,298,105167.2,Cleo Energy Corp.,585,8582.3,8033.2,93.6,7.64,7.6
Journey Energy Inc.,408,156544.0,Battle River Energy Ltd.,610,30904.9,7911.1,25.6,5.05,4.41
Questfire Energy Corp.,673,223552.9,Cleo Energy Corp.,585,8582.3,7900.8,92.06,3.53,3.52
Long Run Exploration Ltd.,1077,351216.8,Cleo Energy Corp.,585,8582.3,7900.4,92.05,2.25,2.25
Canadian Oil & Gas International Inc.,454,344600.4,Cleo Energy Corp.,585,8582.3,7884.3,91.87,2.29,2.28
Paramount Resources Ltd.,1961,420095.3,Cleo Energy Corp.,585,8582.3,7829.3,91.23,1.86,1.86
Canlin Energy Corporation,1376,356522.5,Cleo Energy Corp.,585,8582.3,7740.5,90.19,2.17,2.17
Canadian Natural Upgrading Limited,551,14787.9,Tourmaline Oil Corp.,1331,374838.5,7721.3,52.21,2.06,2.02
Imperial Oil Resources Limited,1699,479238.5,Cleo Energy Corp.,585,8582.3,7522.3,87.65,1.57,1.57
Strathcona Resources Ltd.,739,328898.8,Canadian Natural Upgrading Limited,551,14787.9,7442.0,50.32,2.26,2.21
Torxen Energy Ltd.,2300,13646.6,City Of Medicine Hat,1109,23195.8,7078.2,51.87,30.52,23.78
Trident Exploration (Alberta) Corp.,826,130806.1,Cleo Energy Corp.,585,8582.3,6948.8,80.97,5.31,5.25
Spartan Delta Corp.,446,150254.0,Cleo Energy Corp.,585,8582.3,6947.5,80.95,4.62,4.57
Suncor Energy Inc.,2060,255998.9,Torxen Energy Ltd.,2300,13646.6,6869.2,50.34,2.68,2.61
Blue Sky Resources Ltd.,983,376771.1,Cleo Energy Corp.,585,8582.3,6829.3,79.57,1.81,1.8
TAQA North Ltd.,898,443236.8,Canadian Natural Upgrading Limited,551,14787.9,6744.3,45.61,1.52,1.49
Whitecap Resources Inc.,613,295046.7,Canadian Natural Upgrading Limited,551,14787.9,6732.9,45.53,2.28,2.22
Obsidian Energy Ltd.,1729,323028.8,Canadian Natural Upgrading Limited,551,14787.9,6694.5,45.27,2.07,2.02
SanLing Energy Ltd.,1105,388237.4,Cleo Energy Corp.,585,8582.3,6673.0,77.75,1.72,1.71
Sinopec Canada Energy Ltd.,429,242470.3,Battle River Energy Ltd.,610,30904.9,6661.9,21.56,2.75,2.5
Houston Oil & Gas Ltd.,757,201799.0,Karve Energy Inc.,571,32255.8,6657.3,20.64,3.3,2.93
