A,A_wells,A_area,B,B_wells,B_area,inter_km2,pct_of_smaller,pct_of_larger,jaccard
CNOOC Petroleum North America ULC,627,277977.6,Bonterra Energy Corp.,716,112752.0,99983.7,88.68,35.97,34.39
Houston Oil & Gas Ltd.,757,201799.0,InPlay Oil Corp.,306,113272.0,99922.0,88.21,49.52,46.44
Whitecap Resources Inc.,613,295046.7,Axiom Oil and Gas Inc.,298,105167.2,99531.9,94.64,33.73,33.1
NuVista Energy Ltd.,507,255357.2,Spartan Delta Corp.,446,150254.0,99488.3,66.21,38.96,32.5
Journey Energy Inc.,408,156544.0,Obsidian Energy Ltd.,1729,323028.8,98431.0,62.88,30.47,25.83
Journey Energy Inc.,408,156544.0,Spartan Delta Corp.,446,150254.0,97661.1,65.0,62.39,46.7
Ipc Canada Ltd.,1777,256449.7,Axiom Oil and Gas Inc.,298,105167.2,97583.8,92.79,38.05,36.96
Journey Energy Inc.,408,156544.0,Sinopec Canada Energy Ltd.,429,242470.3,97257.0,62.13,40.11,32.23
Bonterra Energy Corp.,716,112752.0,Veren Inc.,664,274382.3,96825.8,85.88,35.29,33.35
Gran Tierra Canada Ltd.,426,192549.8,Bonterra Energy Corp.,716,112752.0,96559.4,85.64,50.15,46.26
Journey Energy Inc.,408,156544.0,Sequoia Resources Corp.,816,236179.8,96211.6,61.46,40.74,32.45
Spoke Resources Ltd.,547,216872.9,Houston Oil & Gas Ltd.,757,201799.0,95464.2,47.31,44.02,29.54
Trident Exploration (Alberta) Corp.,826,130806.1,Pine Cliff Energy Ltd.,1526,167838.9,95129.3,72.73,56.68,46.74
Canadian Natural Resources Limited,20769,554574.5,LGX Oil + Gas Inc.,308,95116.4,95116.4,100.0,17.15,17.15
Journey Energy Inc.,408,156544.0,Trident Exploration (Alberta) Corp.,826,130806.1,94647.7,72.36,60.46,49.12
Prairie Provident Resources Canada Ltd.,977,403193.9,LGX Oil + Gas Inc.,308,95116.4,94222.5,99.06,23.37,23.32
Journey Energy Inc.,408,156544.0,Ipc Canada Ltd.,1777,256449.7,94187.3,60.17,36.73,29.54
Axiom Oil and Gas Inc.,298,105167.2,Gear Energy Ltd.,677,155908.7,93900.9,89.29,60.23,56.17
Bonterra Energy Corp.,716,112752.0,Gear Energy Ltd.,677,155908.7,93712.6,83.11,60.11,53.57
SanLing Energy Ltd.,1105,388237.4,LGX Oil + Gas Inc.,308,95116.4,93690.0,98.5,24.13,24.04
Lexin Resources Ltd.,852,334562.2,Spartan Delta Corp.,446,150254.0,93076.9,61.95,27.82,23.76
Strathcona Resources Ltd.,739,328898.8,Trident Exploration (Alberta) Corp.,826,130806.1,92904.5,71.02,28.25,25.33
Ember Resources Inc.,1051,162498.1,InPlay Oil Corp.,306,113272.0,92765.5,81.9,57.09,50.69
NuVista Energy Ltd.,507,255357.2,Axiom Oil and Gas Inc.,298,105167.2,92391.3,87.85,36.18,34.46
TAQA North Ltd.,898,443236.8,LGX Oil + Gas Inc.,308,95116.4,92300.3,97.04,20.82,20.69
Bonterra Energy Corp.,716,112752.0,Sequoia Resources Corp.,816,236179.8,92060.6,81.65,38.98,35.84
Lexin Resources Ltd.,852,334562.2,InPlay Oil Corp.,306,113272.0,92037.3,81.25,27.51,25.87
Suncor Energy Inc.,2060,255998.9,Spoke Resources Ltd.,547,216872.9,91988.3,42.42,35.93,24.15
Axiom Oil and Gas Inc.,298,105167.2,Veren Inc.,664,274382.3,91590.0,87.09,33.38,31.81
Lexin Resources Ltd.,852,334562.2,Pine Cliff Energy Ltd.,1526,167838.9,91545.0,54.54,27.36,22.28
Veren Inc.,664,274382.3,Pine Cliff Energy Ltd.,1526,167838.9,90964.9,54.2,33.15,25.9
Vermilion Energy Inc.,321,323169.2,Axiom Oil and Gas Inc.,298,105167.2,90781.7,86.32,28.09,26.89
Axiom Oil and Gas Inc.,298,105167.2,Sequoia Resources Corp.,816,236179.8,90657.3,86.2,38.38,36.16
Obsidian Energy Ltd.,1729,323028.8,Spartan Delta Corp.,446,150254.0,90646.3,60.33,28.06,23.69
Strathcona Resources Ltd.,739,328898.8,Spartan Delta Corp.,446,150254.0,90262.0,60.07,27.44,23.21
InPlay Oil Corp.,306,113272.0,Veren Inc.,664,274382.3,89961.2,79.42,32.79,30.22
InPlay Oil Corp.,306,113272.0,Sinopec Canada Energy Ltd.,429,242470.3,89769.7,79.25,37.02,33.75
